,id,series_id,tournament_id,event_id,version,minor_version,dataset_id,dataset_version,platform_id,ladder_id,rated,winning_team_id,builtin_map_id,map_size_id,map_name,event_map_id,rms_custom,rms_seed,fixed_positions,played,platform_match_id,duration,completed,postgame,type_id,difficulty_id,population_limit,map_reveal_choice_id,cheats,speed_id,mirror,diplomacy_type,team_size,starting_resources_id,starting_age_id,victory_condition_id,all_technologies,version_id,multiqueue,treaty_length,build,version_id,starting_palisades,starting_town_centers,starting_walls,state_reader_interval,state_reader_version,platform_metadata,water_percent,server
47,1131943,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,724582080,False,2019-11-19 15:52:08.631485,20944379,0 days 00:37:25.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
48,1131955,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-725792435,False,2019-11-19 15:40:12.027818,20944349,0 days 00:53:09.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
49,1131956,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,602572565,False,2019-11-19 15:40:12.276651,20944348,0 days 00:50:46.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
50,1131959,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,1015434779,False,2019-11-19 15:35:13.650519,20944327,0 days 00:17:25.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
51,1131975,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-269425046,False,2019-11-19 15:23:17.596977,20944277,0 days 00:34:06.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
52,1131997,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-379366564,False,2019-11-19 15:04:23.130882,20944229,0 days 00:07:53.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
53,1131948,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-809744879,False,2019-11-19 15:44:09.971093,20944359,0 days 00:51:03.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
54,1131954,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-1615086214,False,2019-11-19 15:40:11.784129,20944350,0 days 00:23:28.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
55,1131971,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-1705647110,False,2019-11-19 15:27:16.579054,20944291,0 days 00:42:29.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
56,1131973,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,897804664,False,2019-11-19 15:26:17.062027,20944289,0 days 00:02:41.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
57,1131976,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-1167711137,False,2019-11-19 15:23:17.851886,20944276,0 days 00:48:38.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
58,1131979,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,1320374481,False,2019-11-19 15:21:18.558238,20944271,0 days 00:20:04.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
